UTC Time,Latitude,Longitude,GForce,satCount
135142.000,51.466112,5.374868,0.35,20
135142.000,51.466112,5.374868,0.37,20
135142.000,51.466112,5.374868,0.38,20
135142.000,51.466112,5.374868,0.42,20
135142.000,51.466112,5.374868,0.43,20
135142.000,51.466112,5.374868,0.42,20
135142.000,51.466112,5.374868,0.46,20
135142.000,51.466112,5.374868,0.39,20
135143.000,51.466059,5.375033,0.30,20
135143.000,51.466059,5.375033,0.34,20
135143.000,51.466059,5.375033,0.41,20
135143.000,51.466059,5.375033,0.40,20
135143.000,51.466059,5.375033,0.46,20
135143.000,51.466059,5.375033,0.47,20
135143.000,51.466059,5.375033,0.43,20
135143.000,51.466059,5.375033,0.46,20
135143.000,51.466059,5.375033,0.46,20
135144.000,51.465986,5.375172,0.44,19
135144.000,51.465986,5.375172,0.49,19
135144.000,51.465986,5.375172,0.37,19
135144.000,51.465986,5.375172,0.41,19
135144.000,51.465986,5.375172,0.40,19
135144.000,51.465986,5.375172,0.43,19
135144.000,51.465986,5.375172,0.43,19
135144.000,51.465986,5.375172,0.40,19
135144.000,51.465986,5.375172,0.46,19
135144.000,51.465986,5.375172,0.42,19
135144.000,51.465986,5.375172,0.43,19
135145.000,51.465902,5.375255,0.43,20
135145.000,51.465902,5.375255,0.42,20
135145.000,51.465902,5.375255,0.44,20
135145.000,51.465902,5.375255,0.42,20
135145.000,51.465902,5.375255,0.33,20
135145.000,51.465902,5.375255,0.48,20
135145.000,51.465902,5.375255,0.32,20
135145.000,51.465902,5.375255,0.51,20
135145.000,51.465902,5.375255,0.29,20
135145.000,51.465902,5.375255,0.41,20
135146.000,51.465810,5.375253,0.41,20
135146.000,51.465810,5.375253,0.51,20
135146.000,51.465810,5.375253,0.45,20
135146.000,51.465810,5.375253,0.64,20
135146.000,51.465810,5.375253,0.30,20
135146.000,51.465810,5.375253,0.39,20
135146.000,51.465810,5.375253,0.45,20
135146.000,51.465810,5.375253,0.49,20
135146.000,51.465810,5.375253,0.49,20
135147.000,51.465703,5.375148,0.45,20
135147.000,51.465703,5.375148,0.56,20
135147.000,51.465703,5.375148,0.57,20
135147.000,51.465703,5.375148,0.33,20
135147.000,51.465703,5.375148,0.23,20
135147.000,51.465703,5.375148,0.18,20
135147.000,51.465703,5.375148,0.25,20
135147.000,51.465703,5.375148,0.27,20
135147.000,51.465703,5.375148,0.44,20
135147.000,51.465703,5.375148,0.67,20
135148.000,51.465605,5.374978,0.60,20
135148.000,51.465605,5.374978,0.58,20
135148.000,51.465605,5.374978,0.53,20
135148.000,51.465605,5.374978,0.61,20
135148.000,51.465605,5.374978,0.55,20
135148.000,51.465605,5.374978,0.60,20
135148.000,51.465605,5.374978,0.63,20
135148.000,51.465605,5.374978,0.71,20
135148.000,51.465605,5.374978,0.66,20
135148.000,51.465605,5.374978,0.68,20
135149.000,51.465535,5.374810,0.65,21
135149.000,51.465535,5.374810,0.72,21
135149.000,51.465535,5.374810,0.63,21
135149.000,51.465535,5.374810,0.58,21
135149.000,51.465535,5.374810,0.60,21
135149.000,51.465535,5.374810,0.62,21
135149.000,51.465535,5.374810,0.64,21
135149.000,51.465535,5.374810,0.63,21
135149.000,51.465535,5.374810,0.58,21
135149.000,51.465535,5.374810,0.61,21
135150.000,51.465453,5.374671,0.59,21
135150.000,51.465453,5.374671,0.63,21
135150.000,51.465453,5.374671,0.64,21
135150.000,51.465453,5.374671,0.60,21
135150.000,51.465453,5.374671,0.64,21
135150.000,51.465453,5.374671,0.59,21
135150.000,51.465453,5.374671,0.65,21
135150.000,51.465453,5.374671,0.58,21
135150.000,51.465453,5.374671,0.55,21
135150.000,51.465453,5.374671,0.55,21
135151.000,51.465366,5.374647,0.57,21
135151.000,51.465366,5.374647,0.69,21
135151.000,51.465366,5.374647,0.68,21
135151.000,51.465366,5.374647,0.68,21
135151.000,51.465366,5.374647,0.69,21
135151.000,51.465366,5.374647,0.65,21
135151.000,51.465366,5.374647,0.82,21
135151.000,51.465366,5.374647,0.66,21
135151.000,51.465366,5.374647,0.74,21
135151.000,51.465366,5.374647,0.71,21
135152.000,51.465273,5.374711,0.84,21
135152.000,51.465273,5.374711,0.71,21
135152.000,51.465273,5.374711,0.75,21
135152.000,51.465273,5.374711,0.66,21
135152.000,51.465273,5.374711,0.71,21
135152.000,51.465273,5.374711,0.67,21
135152.000,51.465273,5.374711,0.66,21
135152.000,51.465273,5.374711,0.68,21
135152.000,51.465273,5.374711,0.64,21
135152.000,51.465273,5.374711,0.66,21
135153.000,51.465225,5.374861,0.64,21
135153.000,51.465225,5.374861,0.66,21
135153.000,51.465225,5.374861,0.62,21
135153.000,51.465225,5.374861,0.69,21
135153.000,51.465225,5.374861,0.66,21
135153.000,51.465225,5.374861,0.72,21
135153.000,51.465225,5.374861,0.72,21
135153.000,51.465225,5.374861,0.63,21
135153.000,51.465225,5.374861,0.66,21
135153.000,51.465225,5.374861,0.74,21
135154.000,51.465242,5.375042,0.67,21
